"出生年代","可用机长","可用副驾驶","待命","国内在训","国内毕业","外送在训","外送毕业"
"1942","","","","","","",""
"1943","","","","","","",""
"1944","","","","","","",""
"1945","","","","","","",""
"1946","","","","","","",""
"1947","","","","","","",""
"1948","","","3","","","",""
"1949","","","5","","","",""
"1950","","","6","","","",""
"1951","","1","4","","","",""
"1952","","1","","","","",""
"1953","","1","6","","","",""
"1954","1","","4","","","",""
"1955","9","","3","","","",""
"1956","12","3","9","","","",""
"1957","70","4","8","","","",""
"1958","82","13","14","","","",""
"1959","133","20","13","","","",""
"1960","189","24","16","","","",""
"1961","202","16","25","","1","",""
"1962","395","35","24","","1","",""
"1963","396","29","25","","","",""
"1964","324","23","23","","","",""
"1965","382","30","22","","1","",""
"1966","371","41","37","","1","",""
"1967","295","32","27","","1","",""
"1968","257","25","16","","1","",""
"1969","244","25","22","","1","",""
"1970","306","28","27","","","",""
"1971","399","40","33","1","1","",""
"1972","384","30","31","","2","",""
"1973","448","35","24","","","",""
"1974","483","40","25","","","",""
"1975","472","37","32","","","",""
"1976","482","34","22","","","",""
"1977","503","40","21","","1","",""
"1978","615","43","34","2","1","",""
"1979","550","51","34","","3","","1"
"1980","582","82","43","","","",""
"1981","710","187","47","1","10","","1"
"1982","887","393","84","3","8","","2"
"1983","932","535","78","5","17","1","2"
"1984","903","769","78","5","21","","4"
"1985","742","1012","86","5","45","1","5"
"1986","601","1438","131","5","55","4","6"
"1987","393","1926","139","16","87","3","9"
"1988","187","2193","226","36","121","16","25"
"1989","72","2355","311","80","205","53","36"
"1990","12","2042","377","127","240","181","107"
"1991","","1501","443","173","221","296","157"
"1992","","1021","739","249","403","443","162"
"1993","","407","677","370","634","604","155"
"1994","","45","320","772","531","898","155"
"1995","","6","51","787","163","961","66"
"1996","","1","11","361","8","454","7"
"1997","","","","28","4","34",""
"1998","","","","1","1","1",""
"1999","","","","1","","",""
