[
    [4, 9, 18],
    [6, 2, 30],
    [37, 14, 7],
    [19, 33, 21],
    [9, 4, 36],
    [96, 20, 12],
    [73, 40, 29],
    [63, 32, 34],
    [96, 12, 0],
    [4, 21, 22],
    [92, 28, 44],
    [15, 3, 57],
    [12, 28, 54],
    [57, 35, 31],
    [87, 13, 49],
    [86, 39, 32],
    [30, 43, 52],
    [58, 22, 38],
    [38, 11, 59],
    [50, 6, 33],
    [79, 16, 46],
    [98, 15, 49],
    [44, 45, 44],
    [25, 25, 22],
    [59, 7, 12],
    [43, 29, 13],
    [72, 38, 22],
    [46, 45, 48],
    [73, 44, 33],
    [54, 46, 36],
    [91, 16, 19],
    [59, 28, 39],
    [56, 33, 8],
    [31, 42, 25],
    [15, 44, 2],
    [94, 1, 7],
    [21, 26, 13],
    [95, 50, 35],
    [69, 34, 54],
    [58, 17, 20],
    [46, 44, 1],
    [5, 12, 26],
    [22, 48, 49],
    [82, 38, 15],
    [71, 37, 25],
    [74, 31, 28],
    [20, 22, 1],
    [37, 38, 36],
    [85, 26, 46],
    [25, 41, 33],
    [32, 1, 60],
    [70, 41, 49],
    [37, 43, 7],
    [58, 47, 36],
    [70, 3, 44],
    [39, 24, 52],
    [12, 7, 59],
    [71, 2, 37],
    [6, 8, 0],
    [32, 12, 24],
    [11, 4, 32],
    [19, 41, 53],
    [30, 26, 20],
    [1, 0, 46],
    [59, 44, 7],
    [98, 9, 13],
    [73, 2, 11],
    [5, 0, 15],
    [56, 25, 45],
    [69, 6, 56],
    [83, 12, 50],
    [93, 6, 44],
    [51, 3, 48],
    [71, 24, 51],
    [77, 10, 18],
    [40, 39, 33],
    [18, 41, 27],
    [49, 11, 46],
    [91, 41, 16],
    [64, 42, 41],
    [9, 4, 21],
    [62, 9, 49],
    [94, 15, 12],
    [98, 46, 6],
    [43, 15, 42],
    [33, 27, 26],
    [65, 24, 48],
    [46, 27, 22],
    [62, 0, 26],
    [58, 45, 27],
    [87, 34, 33],
    [80, 32, 47],
    [10, 20, 18],
    [23, 7, 46],
    [3, 45, 10],
    [53, 37, 55],
    [38, 15, 48],
    [31, 32, 20],
    [14, 50, 50],
    [84, 32, 53],
    [43, 42, 52],
    [1, 5, 35],
    [66, 7, 11],
    [100, 16, 18],
    [25, 35, 24],
    [30, 28, 57],
    [20, 4, 48],
    [29, 33, 24],
    [51, 11, 9],
    [100, 25, 5],
    [81, 4, 49],
    [32, 48, 29],
    [99, 6, 51],
    [30, 28, 23],
    [12, 11, 60],
    [24, 27, 26],
    [53, 11, 30],
    [48, 12, 50],
    [41, 40, 42],
    [66, 20, 7],
    [22, 10, 55],
    [88, 3, 9],
    [65, 22, 17],
    [42, 9, 11],
    [44, 21, 37],
    [9, 21, 8],
    [20, 20, 8],
    [83, 17, 5],
    [57, 9, 3],
    [97, 27, 56],
    [46, 41, 52],
    [20, 45, 30],
    [5, 37, 27],
    [45, 29, 52],
    [76, 17, 21],
    [43, 13, 59],
    [72, 33, 34],
    [44, 49, 45],
    [88, 31, 39],
    [40, 49, 28],
    [26, 44, 15],
    [31, 43, 3],
    [22, 20, 58],
    [20, 22, 23],
    [6, 27, 6],
    [77, 32, 23],
    [29, 20, 31],
    [73, 7, 6],
    [87, 45, 7],
    [27, 31, 41],
    [84, 35, 40],
    [79, 44, 1],
    [7, 9, 29],
    [45, 8, 57],
    [81, 23, 27],
    [14, 23, 7],
    [62, 49, 51],
    [27, 42, 16],
    [14, 21, 33],
    [22, 17, 52],
    [55, 49, 2],
    [35, 24, 13],
    [31, 30, 6],
    [76, 37, 39],
    [34, 50, 45],
    [15, 32, 57],
    [9, 8, 37],
    [34, 18, 16],
    [59, 5, 44],
    [33, 14, 57],
    [82, 4, 36],
    [92, 17, 2],
    [22, 25, 10],
    [36, 12, 13],
    [4, 23, 33],
    [100, 2, 7],
    [32, 13, 17],
    [84, 28, 58],
    [17, 6, 41],
    [14, 21, 47],
    [13, 7, 5],
    [15, 50, 27],
    [30, 33, 20],
    [21, 24, 41],
    [15, 13, 46],
    [69, 16, 50],
    [89, 30, 53],
    [96, 39, 9],
    [32, 6, 48],
    [83, 15, 19],
    [96, 18, 40],
    [68, 11, 35],
    [7, 41, 9],
    [83, 16, 1],
    [66, 19, 25],
    [98, 48, 30],
    [1, 32, 38],
    [50, 12, 27],
    [26, 5, 20],
    [35, 37, 18],
    [82, 37, 43],
    [9, 16, 46],
    [1, 14, 47],
    [15, 40, 21],
    [79, 35, 27],
    [11, 37, 22],
    [38, 11, 8],
    [13, 12, 51],
    [15, 31, 45],
    [64, 8, 19],
    [93, 4, 51],
    [15, 31, 1],
    [54, 48, 19],
    [44, 31, 22],
    [3, 11, 18],
    [49, 9, 9],
    [83, 36, 12],
    [42, 39, 47],
    [7, 11, 12],
    [98, 44, 49],
    [22, 15, 19],
    [20, 24, 45],
    [66, 4, 25],
    [92, 35, 19],
    [84, 5, 50],
    [35, 15, 11],
    [65, 43, 9],
    [74, 21, 18],
    [18, 35, 15],
    [13, 45, 36],
    [76, 48, 13],
    [11, 24, 54],
    [9, 35, 57],
    [100, 9, 1],
    [54, 23, 5],
    [4, 41, 45],
    [76, 47, 19],
    [32, 8, 44],
    [74, 11, 15],
    [54, 5, 3],
    [14, 24, 8],
    [15, 12, 46],
    [79, 28, 28],
    [65, 18, 12],
    [22, 1, 8],
    [90, 44, 27],
    [99, 23, 8],
    [26, 20, 45],
    [66, 43, 36],
    [73, 9, 22],
    [78, 17, 50],
    [88, 16, 13],
