"RIQI","RENCI","RENSHU","FRE"
"20140501",63157,23595,2.68
"20140502",85647,30196,2.84
"20140503",82768,29541,2.8
"20140504",93951,32517,2.89
"20140505",92560,31695,2.92
"20140506",100247,33969,2.95
"20140507",77406,27385,2.83
"20140508",99286,33927,2.93
"20140509",83266,29330,2.84
"20140510",89441,31679,2.82
"20140511",76513,28530,2.68
"20140512",91974,31507,2.92
"20140513",100099,33961,2.95
"20140514",99065,33768,2.93
"20140515",89359,30992,2.88
"20140516",92052,31654,2.91
"20140517",91295,32003,2.85
"20140518",77158,28034,2.75
"20140519",93369,32377,2.88
"20140520",91508,31499,2.91
"20140521",76252,26905,2.83
"20140522",87235,30458,2.86
"20140523",67449,24636,2.74
"20140524",88761,31370,2.83
"20140525",86658,30828,2.81
"20140526",95289,32820,2.9
"20140527",99008,33789,2.93
"20140528",91874,32020,2.87
"20140529",97965,33052,2.96
"20140530",101143,34114,2.96
"20140531",84714,29780,2.84
