time,line1,line2,line3,line4,line5,line6,line7
2021/9/18 16:38,56,11.54,31.2,50,31.4,35,24
2021/9/18 16:43,56,11.52,31.2,50,31.3,35,24
2021/9/18 16:48,56.1,11.54,31.34,50,31.4,35,24
2021/9/18 16:53,56.1,11.53,31.34,50,31.4,35,24
2021/9/18 16:58,56.1,11.55,31.2,50,31.4,35,24
2021/9/18 17:03,56.1,11.51,31.2,50,31.3,35,24
2021/9/18 17:08,56.1,11.56,31.02,50,31.3,35,24
2021/9/18 17:13,56.1,11.56,31.2,50,31.3,35,24
2021/9/18 17:18,56.1,11.54,31.2,50,31.3,35,24
2021/9/18 17:23,56.1,11.55,31.2,50,31.4,35,24
2021/9/18 17:28,56.1,11.54,31.05,50,31.3,34.8,24
2021/9/18 17:33,56.1,11.53,31.2,50,31.7,34.8,24
2021/9/18 17:38,56.1,11.56,31.34,50,31.7,35,24
2021/9/18 17:43,56.1,11.54,31.34,50,31.6,35,24
2021/9/18 17:48,56,11.56,31.34,50,31.6,35,24
2021/9/18 17:53,56,11.55,31.34,50,31.6,35,24
2021/9/18 17:58,56.1,11.55,31.34,50,31.7,35,24
2021/9/18 18:03,56,11.55,31.49,50,31.6,35,24
2021/9/18 18:08,56.1,11.55,31.34,50,31.5,35,24
2021/9/18 18:13,56,11.55,31.49,50,31.5,35,24
2021/9/18 18:18,56.1,11.58,31.2,50,31.6,35,24
2021/9/18 18:23,56,11.57,31.34,50,31.8,34.8,24
2021/9/18 18:28,56.1,11.56,31.05,50,30.7,34.8,24
2021/9/18 18:33,56,11.52,31.2,50,32.1,34.8,24
2021/9/18 18:38,56.1,11.56,31.49,50,31.8,35,24
2021/9/18 18:43,56.1,11.55,31.49,50,32.1,35,24
2021/9/18 18:48,56,11.54,31.49,50,31.3,35,24
2021/9/18 18:53,56.1,11.56,31.34,50,31.6,35,24
2021/9/18 18:58,56.1,11.56,31.34,50,32.2,35.1,24
2021/9/18 19:03,56.1,11.54,31.49,50,32,35,24
2021/9/18 19:08,56.1,11.54,31.34,50,32.2,35,24
2021/9/18 19:13,56.1,11.53,31.34,50,32.2,35,0
2021/9/18 19:18,56.1,11.53,31.34,50,31.6,35,24
2021/9/18 19:23,56.1,11.54,31.34,50,32.1,35,24
2021/9/18 19:28,56.1,11.55,31.02,50,30.5,34.8,24
2021/9/18 19:33,56.1,11.52,31.2,50,32.5,34.8,24
2021/9/18 19:38,56.1,11.52,31.49,50,32.3,35,24
2021/9/18 19:43,56.1,11.53,31.49,50,31.7,35,0
2021/9/18 19:48,56.1,11.51,31.49,50,31.5,35.1,24
2021/9/18 19:53,56.1,11.54,31.63,50,32.1,35.1,24
2021/9/18 19:58,56.1,11.51,31.49,50,31.8,35.1,24
2021/9/18 20:03,56,11.55,31.49,50,31.6,35,0
2021/9/18 20:08,56.1,11.54,31.49,50,32,35,24
2021/9/18 20:13,56.1,11.52,31.49,50,32.1,35,24
2021/9/18 20:18,56.1,11.58,31.49,50,31.6,35,24
2021/9/18 20:23,56,11.55,31.49,50,32,35,24
2021/9/18 20:28,56.1,11.54,31.49,50,30.8,35,24
2021/9/18 20:33,56.1,11.56,31.2,50,32.1,34.8,24
2021/9/18 20:38,56.1,11.53,31.49,50,32.2,35.1,24
2021/9/18 20:43,56.1,11.52,31.49,50,32.2,35,24
2021/9/18 20:48,56.1,11.51,31.49,50,31.7,35,0
2021/9/18 20:53,56,11.54,31.49,50,32.3,35.1,24
2021/9/18 20:58,56.1,11.53,31.49,50,31.5,35,0
2021/9/18 21:03,56,11.52,31.63,50,32.1,35,0
2021/9/18 21:08,56.1,11.52,31.49,50,31.6,35,24
2021/9/18 21:13,56.1,11.53,31.34,50,31.6,35,24
2021/9/18 21:18,56.1,11.56,31.49,50,32.1,35,0
2021/9/18 21:23,56.1,11.54,31.49,50,31.3,35,12
2021/9/18 21:28,56.1,11.58,31.34,50,31.5,35,24
2021/9/18 21:33,56.1,11.52,31.2,50,31.8,34.8,0
2021/9/18 21:38,56.1,11.51,31.49,50,32.5,35.1,24
2021/9/18 21:43,56,11.52,31.49,50,31.8,35,24
2021/9/18 21:48,56.1,11.54,31.63,50,31.8,35.1,0
2021/9/18 21:53,56.1,11.5,31.63,50,32.1,35.1,24
2021/9/18 21:58,56.1,11.55,31.63,50,32,35,0
2021/9/18 22:03,56,11.56,31.63,50,31.5,35,0
2021/9/18 22:08,56.1,11.55,31.63,50,31.7,35,24
2021/9/18 22:13,56.1,11.55,31.63,50,32.2,35.1,24
2021/9/18 22:18,56.1,11.54,31.49,50,32.1,35,24
2021/9/18 22:23,56,11.54,31.49,50,32.2,35,0
2021/9/18 22:28,56.1,11.55,31.63,50,31.4,35.1,0
